127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:30:06 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:30:06 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - - [22/Aug/2017:10:30:06 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/list HTTP/1.1" 200 617
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/deploy?config=file%3A%2FC%3A%2FUsers%2FN0200797%2FAppData%2FLocal%2FTemp%2Fcontext3259966666342743048.xml&path=/LuckySevens HTTP/1.1" 200 67
127.0.0.1 - netbeans [22/Aug/2017:10:30:06 -0400] "GET /manager/text/start?path=/LuckySevens HTTP/1.1" 200 66
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:30:06 -0400] "GET /LuckySevens HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:30:06 -0400] "GET /LuckySevens/ HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [22/Aug/2017:10:30:12 -0400] "POST /LuckySevens/LuckySevensServlet HTTP/1.1" 404 1048
127.0.0.1 - - [22/Aug/2017:10:31:00 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:31:00 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:31:00 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:31:00 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - - [22/Aug/2017:10:31:00 -0400] "HEAD /netbeans-tomcat-status-test HTTP/1.1" 404 -
127.0.0.1 - netbeans [22/Aug/2017:10:31:00 -0400] "GET /manager/text/ HTTP/1.1" 200 37
127.0.0.1 - netbeans [22/Aug/2017:10:31:00 -0400] "GET /manager/text/list HTTP/1.1" 200 786
